departamento,municipio,total_ips,promedio_indicador
Antioquia,"San Andrés De Cuerquía",1,23.07
Antioquia,Urrao,1,23.07
Atlántico,Manatí,1,23.00
Antioquia,Caicedo,1,22.95
Antioquia,"Puerto Nare",1,22.95
Antioquia,Briceño,1,22.87
Antioquia,Cáceres,1,22.41
Antioquia,Sopetrán,1,21.76
Antioquia,Titiribí,1,21.54
Antioquia,Heliconia,1,21.45
Antioquia,Armenia,1,21.14
Antioquia,Valdivia,2,20.50
"Valle del Cauca",Palmira,1,20.18
Antioquia,Segovia,2,19.72
Antioquia,Tarazá,2,18.31
Antioquia,Argelia,1,17.97
Sucre,"San Benito Abad",1,15.25
"Valle del Cauca",Cartago,1,11.42
Cesar,Valledupar,1,11.25
Cundinamarca,"La Palma",1,10.25
Magdalena,Ariguaní,1,9.36
Cesar,"El Copey",1,8.53
Cundinamarca,Gachetá,1,8.37
Santander,Bucaramanga,1,7.07
Cesar,Aguachica,2,7.01
Cauca,Timbiquí,1,6.77
Risaralda,Pereira,1,6.12
Cundinamarca,"Villa De San Diego De Ubate",1,5.95
Cauca,Timbío,1,5.13
Antioquia,Zaragoza,3,4.33
Antioquia,"Puerto Triunfo",1,3.91
Nariño,"El Tambo",1,3.83
Risaralda,Dosquebradas,1,3.45
Sucre,Sincelejo,2,2.70
Caldas,Neira,1,2.19
Caldas,Viterbo,1,2.03
Casanare,Yopal,1,1.95
Boyacá,Duitama,1,1.82
Boyacá,Siachoque,1,1.73
"Valle del Cauca",Alcalá,1,1.72
Risaralda,"Pueblo Rico",1,1.44
Huila,Iquira,1,1.39
"Norte de Santander","Los Patios",1,1.29
Caquetá,"San Vicente Del Caguán",1,1.27
Nariño,Funes,1,1.27
Nariño,Arboleda,1,1.25
Caldas,Manzanares,1,1.23
Nariño,Guaitarilla,1,1.18
Santander,Galán,1,1.11
Sucre,"San Juan De Betulia",1,1.05
Bolívar,"San Jacinto",1,1.00
Cesar,Curumaní,1,1.00
"La Guajira",Urumita,1,1.00
Magdalena,"Zona Bananera",1,1.00
"Valle del Cauca","La Cumbre",1,1.00
Caldas,Filadelfia,1,0.81
Casanare,Tauramena,1,0.74
Putumayo,Leguízamo,1,0.63
Caldas,Belalcázar,1,0.02
Antioquia,Abriaquí,1,0.00
Arauca,Saravena,1,0.00
Caldas,Aguadas,1,0.00
Cauca,Silvia,1,0.00
Cesar,Chiriguaná,1,0.00
Huila,Baraya,1,0.00
Huila,Hobo,1,0.00
Huila,Oporapa,1,0.00
Magdalena,Concordia,1,0.00
Magdalena,Pedraza,1,0.00
Magdalena,Remolino,1,0.00
Nariño,Puerres,1,0.00
Nariño,Túquerres,1,0.00
"Norte de Santander",Cúcuta,1,0.00
Putumayo,Mocoa,1,0.00
